,cz,year,pop,refugees
108,7700.0,1977.5,489571.0,3.5
109,7800.0,1977.5,798414.5,10.166666666666666
110,7900.0,1977.5,620122.6666666666,47.166666666666664
111,8000.0,1977.5,276683.3333333333,13.333333333333334
112,8100.0,1977.5,536764.6666666666,81.66666666666667
113,8201.0,1977.5,260282.5,2.6666666666666665
114,8202.0,1977.5,188845.66666666666,34.833333333333336
115,8300.0,1977.5,701888.1666666666,55.666666666666664
116,8401.0,1977.5,448408.5,37.833333333333336
117,8402.0,1977.5,91882.33333333333,2.0
118,8501.0,1977.5,15827.5,0.0
119,8502.0,1977.5,42009.0,0.3333333333333333
120,8503.0,1977.5,327131.6666666667,15.333333333333334
121,8601.0,1977.5,262391.1666666667,50.333333333333336
122,8602.0,1977.5,556957.0,4.666666666666667
